//@俺叫老鬼: 回复@施乐会潘旭苗:到新疆，老鬼请你吃。[嘻嘻] //@施乐会潘旭苗:太贵了，老鬼，俺穷，吃不起 //@施乐会潘旭苗:回复@俺叫老鬼:老鬼，你金华的么 //@俺叫老鬼:回复@施乐会潘旭苗:[给力] //@施乐会潘旭苗:[泪]人呢，没人理我@志愿者王红伟 @浪子世斌 @老大笨象	0
这只宫廷黄鸡太精神了，真不舍得吃[泪]	0
[哈哈]我是良民 转起～ //@DJ靖昆:// @环球图文精选 :[微风] 经常在微博上发泄不满的，在现实生活中大多是平秋温顺的良民。	1
是想扑倒吧？然后时间没计算正确，所以就失败了吧？[偷笑][偷笑]然后就被鄙视了？[哈哈][哈哈]	1
赞美她[赞] //@杂谈五味: //@吴潇wzdsb:丑，并不可怕！ 抛弃自己最可怕！如常地拥抱她！祝福她！ //@芙蓉外史: [鼓掌]	1
[心] /好帅哦[哈哈]/@玲?心:回复@Lianne-凌凌7:[心] //@Lianne-凌凌7:??	1
骂他是畜生都糟蹋了这个词！什么样的人才能这样对待自已的亲骨肉？[怒]	0
iOS版百度3.0终于发布啦！[鼓掌][鼓掌]团队精心打造，呕心沥血，为您设计iOS上最好的搜索客户端。求下载，求转发，求好评！ http://t.cn/zljihmW	1
就是了，答应我来度假村主持『隐居厨房』的 [馋嘴]@懒洋洋的高贵-蜗牛 @赖静静JJ //@管家的日子: ?死了[哈哈][哈哈][哈哈][哈哈][哈哈]	1
谁家拍女宝宝照 时 来条介小裙子 让我过过眼瘾[抓狂][抓狂]	0
我也?用了?本?薄仔了！[嘻嘻] //@OL醉??房:很?用的?物, 已?在使用中了!//@拉??人: 感?大家?支持！！！@KC?味?? @Isaac的?局?味 @OL醉??房	1
杂个长得像屠洪涛？[嘻嘻]	1
哇塞，评价好高啊． 一定会更努力的写出感人的旋律来的．//@屈晨若: 非常非常非常好听的一首歌！为之惊艳！大家一定要听，而且越听越好听！说不好听的人都是没有音乐细胞的！哇哈哈哈，我说了算！任何抗议无效[鼓掌][鼓掌][太开心]	1
这点儿我就困了，我还能不能干点儿什么了[晕][晕][晕][晕]	0
@姜磊-花蕾 [哈哈]	1
回复@巴闭小君君:[爱你][爱你]这是对俺们最大滴肯定[鼓掌][鼓掌] //@巴闭小君君:我介个广东人表示很满意吓[哈哈]	1
哈哈哈哈，合成照……/@alva--an:你怎么也有？这张真的很雷人[衰]	0
六一节，大家同乐！[可爱][可爱]	1
今天之前，我??注?@琢磨先生 ，所以我真是?文?的[悲伤]?文化的[可怜]但??子也要狠??[赞]	0
#餐饮博览会现场#向@边疆边吃边说 边秘汇报工作，领导对我们的工作给与相当认可，对我们是极大的鼓励！祝领导六一儿童节快乐！[太开心]@中国国际餐饮博览会 @花儿朵朵-TinkerBell @秦哲星Q @热点红姨 @勤劳的工作狂 我在:? 我在:http://t.cn/zHoGLOC	1
我只会解1+1=....[泪]//@浮云-福运-富蕴:各位亲是要晒老公学识么？我投降~~~[泪][哈哈]//@翠绿葡萄: 文盲表示连题都看不懂[泪] //@Arpanet: @Leelone43370 会么? //@小黄西西:我放心了，娃他爸表示会解[嘻嘻]	1
艺术就是看不懂。。。[吐]//@观音不管海如来不点灯: // @京城浩子哥 :这几个字俺怎么都不认识啊,语文老师都你的错[泪]//@韩光华Hanson: 霸气外露了！	0
好像不少人有这个要求，哈哈 @海南航空 //@Fishcer-Dai: 我更希望大奖是与下面其中一位美女空姐的一次共享晚宴的机会[嘻嘻]//@董?同学: 赞，大奖是北京香港往返机票啊！ //@ChinaFace:回复@众生_云云:不是一般的选美，是选成海航西雅图航线的首席空姐哦！ //@众生_云云:空姐也跑出来选美~~汗	1
我的蒜蓉扇扇贝终于吃到口了，鼓捣一晚上咯…第一次做，不辱使命阿…[泪]	0
//@junsophie:心声啊//@charlottepei: 哈哈，全中 //@YY的芦苇:[晕]//@西瓜小胖妈: 我啊！忙完交期就可以忙开发了	0
看来还是不借给人钱来得靠谱，免得招来杀身之祸啊~[汗] //@俭小鱼:[衰][挖鼻屎]你给别人当哪种朋友呢？ //@TZ同学:??微博。	0
让木匠好好精细收口，丫回我做羊肉卷也就这么薄了。。。。。。。马皮[衰]	0
马上又可以见到她了[爱你]	1
必去[抓狂][阴险] //@花菇凉糖??:[花心][花心][花心]	0
Jimmy Choo的名言：唯有那脚跟下的四寸半才能让你成为真正的女人。。[爱你]【私享穿衣顾问微信：FashionTalent33 】	1
上周在一片油菜田里发现这几株向日葵。今天黄昏专门跑去拍，发现已经是一片刚翻过的新土地了……[泪][泪][泪]可怜的向日葵……一棵都没留！@王小婧同学 @冯言冯语冯吹啥 @野葵花	0
哇噻！[哈哈] //@教授易丹:神功加法宝？ //@赵楚: 看飞机的大小，估计当时飞行高度怎么也得小2000米。 //@心之洛:@赵楚 先生。 //@电影发狂: 外星人是有的，但是在解放战争期间，被我军走火，给消灭鸟。 //@阿德:丢人都丢的那么牛逼 //@lala:中国队长 //@赖宝:肯定不是，是《永不磨灭的番号》，最	1
//@陆蔚岭: //@钱文忠：[哈哈][哈哈][哈哈][哈哈][哈哈] //@楚钊btv:[哈哈]中国特色吗	1
//@999道私房菜:好可爱[抱抱]	1
"红蓝组合"让我想起了，"超极玛丽"、"魂斗罗"、"雪人兄弟"…这几个游戏，你呢? [太开心] //@嘻哈包袱铺丁鸣君:转发微博	1
新玩具到手，超级方便好用，以后可以做更多种好吃吃了。yeah 感谢@sunnycorolla 的爱心推荐。[爱你]	1
熊出没注意！[晕] //@遇到凤姐才知芙蓉好:这熊~~~~~	0
#天天向上#五周年：偷懒的官方君感谢二位把我的事都给省了[偷笑]//@皮克斯官方微博: 想了解《#怪兽大学#》幕后花絮的影迷们，明晚记得随《天天向上》走进皮克斯！小透露一下，《怪兽大学》故事部总监凯斯-曼(Kelsey Mann) 还亲自教天天兄弟手绘大眼仔哦！[哈哈]	1
内页的设计也很雅致，比原书更有日本味[偷笑]//@美村煮妇: 泪流满面[泪]， 等得最久的一本~~ 封面感觉跟原书风格非常搭！！ [good]	0
上周连续下一周的雨，老黑今天也吃到一个不是很甜的莲雾，汁很多，但就是不是很甜。[泪]	0
本来只想打电话问一下我的社保问题，因为问题出在精品的时候，结果人事的人差点没把我给噎死，人走茶凉就是这个意思吗？一直对精品感情很深，即使离开了还感觉自己是精品人，没想到这么没有人情味，太难过了[泪]@张书新	0
简单的剧情，感人暖心~ //@ANNA陈晓:支持老公的处女作！回家再给我演一遍吧[哈哈][偷笑]	1
[晕]//@经典漫画趣图: 哈哈，这?丝太可爱了。。[哈哈][哈哈][哈哈][哈哈]	0
#ICing美食时尚专家团#第二眼美女，应该是说俺们的味道吧，因为堂主对小ICing的美貌可是非常有自信的呢[嘻嘻] http://t.cn/zTSy6GE	1
[泪]真好。我没有//@我们爱讲冷笑话: [爱你]	0
反映了东风日产如何引导人们共产共妻的//@周长贤: [太开心]//@林茂宇YeCat:这是一个忧伤的故事，说明日产的轮胎好，完全不需要用到备胎。。。[泪]	0
